"tax_id","org_name","isolation_source","metabolism","cogem_classification"
32019,"Campylobacter fetus fetus","human, blood","Microaerophilic","2"
134375,"Achromobacter sp.",NA,"Aerobic",NA
34062,"Moraxella osloensis","human, blood","Aerobic",NA
300,"Pseudomonas mendocina","human, conjunctiva","Aerobic",NA
90245,"Oligella urethralis","human, ear","Aerobic",NA
76832,"Myroides odoratimimus","human","Aerobic",NA
339,"Xanthomonas campestris","brassica oleracea var. gemmifera","Aerobic",NA
358,"Rhizobium radiobacter","human, peritoneal fluid","Aerobic",NA
489,"Neisseria polysaccharea","human, throat, healthy child","Aerobic",NA
1648,"Erysipelothrix rhusiopathiae","blood","Aerobic","2"
43770,"Corynebacterium striatum","human","Aerobic","2"
38301,"Corynebacterium minutissimum","human","Aerobic","2"
1717,"Corynebacterium diphtheriae","human, throat","Aerobic","2"
1717,"Corynebacterium diphtheriae","nose","Aerobic","2"
65058,"Corynebacterium ulcerans","human, false membrane","Aerobic","2"
316,"Pseudomonas stutzeri","human, leg ulcer","Aerobic",NA
43770,"Corynebacterium striatum","human, pus","Aerobic","2"
253,"Chryseobacterium indologenes","human, spinal fluid","Aerobic",NA
33885,"Microbacterium lacticum","human, meconium (child)","Aerobic",NA
1713,"Oerskovia turbata","soil","Aerobic",NA
253,"Chryseobacterium indologenes","human, trachea","Aerobic",NA
33007,"Actinomyces neuii","human, vagina","Aerobic","2"
32019,"Campylobacter fetus fetus","human","Microaerophilic","2"
2751,"Carnobacterium maltaromaticum","human, blood","Aerobic",NA
250,"Chryseobacterium gleum","human, skin","Aerobic",NA
28454,"Sphingobacterium multivorum","spleen","Aerobic",NA
258,"Sphingobacterium spiritivorum","intra uterine specimen","Aerobic",NA
28090,"Acinetobacter lwoffii","human, blood","Aerobic",NA
44283,"Pasteurella multocida multocida","rabbit, node","Aerobic","2"
43765,"Corynebacterium amycolatum","human, blood","Aerobic","2"
478,"Moraxella nonliquefaciens","human, nasal swab","Aerobic",NA
28454,"Sphingobacterium multivorum","human, blood","Aerobic",NA
1717,"Corynebacterium diphtheriae","human, blood","Aerobic","2"
758,"Rodentibacter pneumotropicus","mouse, conjunctiva","Aerobic","2"
33884,"Microbacterium imperiale","blood","Aerobic",NA
1509,"Clostridium sporogenes","cotton","Anaerobic","2"
38301,"Corynebacterium minutissimum","erythrasma","Aerobic","2"
1725,"Corynebacterium xerosis","child, ear discharge","Aerobic","2"
33885,"Microbacterium lacticum","human, blood","Aerobic",NA
33010,"Cutibacterium avidum","human, blood","Anaerobic",NA
717,"Actinobacillus capsulatus","human, pus","Aerobic",NA
38301,"Corynebacterium minutissimum","human, blood","Aerobic","2"
38301,"Corynebacterium minutissimum","human, urethra","Aerobic","2"
53374,"Corynebacterium coyleae","human, biopsy","Aerobic","2"
90245,"Oligella urethralis","human, blood","Aerobic",NA
575,"Raoultella planticola","radish root","Aerobic","2"
13689,"Sphingomonas paucimobilis","hospital respirator","Aerobic",NA
2061,"Tsukamurella paurometabola",NA,"Aerobic",NA
253,"Chryseobacterium indologenes","human","Aerobic",NA
33010,"Cutibacterium avidum","human, pus","Anaerobic",NA
43765,"Corynebacterium amycolatum","amniotic fluid","Aerobic","2"
250,"Chryseobacterium gleum","human, blood","Aerobic",NA
2054,"Gordonia bronchialis","sputum","Aerobic",NA
36822,"Gordonia rubropertincta","soil","Aerobic",NA
36823,"Gordonia sputi","sputum","Aerobic",NA
502,"Kingella denitrificans","human, sputum","Aerobic",NA
43771,"Corynebacterium urealyticum","human, urine","Aerobic","2"
751,"Avibacterium avium","chick, infraorbital sinus","Aerobic","2"
46170,"Staphylococcus aureus aureus","urine","Aerobic","2"
43770,"Corynebacterium striatum","human, bone transplantation","Aerobic","2"
36807,"Microbacterium laevaniformans","activated sludge","Aerobic",NA
259,"Sphingobacterium thalpophilum","human, wound","Aerobic",NA
259,"Sphingobacterium thalpophilum","abscess","Aerobic",NA
119219,"Cupriavidus metallidurans","human, blood","Aerobic",NA
33885,"Microbacterium lacticum","filter","Aerobic",NA
253,"Chryseobacterium indologenes","human, trachea at autopsy","Aerobic",NA
1585,"Lactobacillus delbrueckii bulgaricus","bulgarian yogurt","Aerobic",NA
2748,"Carnobacterium divergens","vacuum packaged minced beef","Aerobic",NA
74311,"Brevundimonas bacteroides","fresh water lake","Aerobic",NA
43263,"Pseudomonas alcaligenes","swimming-pool water","Aerobic",NA
41276,"Brevundimonas vesicularis","leech, urinary-bladder epithelium","Aerobic",NA
668,"Aliivibrio fischeri",NA,"Aerobic","2"
410,"Methylobacterium organophilum","sediment","Aerobic",NA
1710,"Cellulosimicrobium cellulans","human, blood","Aerobic",NA
717,"Actinobacillus capsulatus","human, rabbit bite","Aerobic",NA
663,"Vibrio alginolyticus","human, ear pus, child","Aerobic","2"
82633,"Cupriavidus pauculus","human, blood","Aerobic",NA
358,"Rhizobium radiobacter","human, blood","Aerobic",NA
316,"Pseudomonas stutzeri","human","Aerobic",NA
33885,"Microbacterium lacticum","milk","Aerobic",NA
752,"Pasteurella bettyae","human, urethral swab","Aerobic","2"
36807,"Microbacterium laevaniformans","human, pus","Aerobic",NA
76832,"Myroides odoratimimus","human, leg slough","Aerobic",NA
39791,"Corynebacterium glucuronolyticum","human, balanitis","Aerobic","2"
39791,"Corynebacterium glucuronolyticum","human, urethral swab","Aerobic","2"
316,"Pseudomonas stutzeri","human, sputum","Aerobic",NA
1010,"Sphingobacterium mizutaii","fetus, ventricular fluid","Aerobic",NA
1703,"Brevibacterium linens","cheese, harzerkase","Aerobic",NA
39956,"Methylobacterium mesophilicum","perennial rye grass","Aerobic",NA
34062,"Moraxella osloensis","human, vagina","Aerobic",NA
1629,"Weissella viridescens","blood","Aerobic",NA
253,"Chryseobacterium indologenes","human, urine","Aerobic",NA
38313,"Shewanella algae","blood","Aerobic",NA
33884,"Microbacterium imperiale","human, blood","Aerobic",NA
758,"Rodentibacter pneumotropicus","mouse, conjunctival swab","Aerobic","2"
41170,"Exiguobacterium acetylicum","human, spinal fluid","Aerobic",NA
2756,"Brochothrix thermosphacta","human, pleural pus","Aerobic",NA
210,"Helicobacter pylori","gastric antrum biopsy","Microaerophilic","2"
239,"Flavobacterium sp.","root surface of pasture grass","Aerobic",NA
1717,"Corynebacterium diphtheriae","human, sputum","Aerobic","2"
1705,"Corynebacterium stationis","film of marine fouling organisms","Aerobic","2"
1697,"Corynebacterium ammoniagenes","infant, stool","Aerobic","2"
33883,"Microbacterium arborescens","blood","Aerobic",NA
2748,"Carnobacterium divergens","hare","Aerobic",NA
1717,"Corynebacterium diphtheriae","human, foot pus","Aerobic","2"
2751,"Carnobacterium maltaromaticum","deer","Aerobic",NA
716,"Actinobacillus suis","piglet, liver","Aerobic",NA
717,"Actinobacillus capsulatus","rabbit, lung","Aerobic",NA
1717,"Corynebacterium diphtheriae","human, pharynx","Aerobic","2"
33010,"Cutibacterium avidum","human, abscess","Anaerobic",NA
38290,"Corynebacterium macginleyi","human, conjunctiva","Aerobic","2"
43765,"Corynebacterium amycolatum","human, pus","Aerobic","2"
43765,"Corynebacterium amycolatum","human, skin","Aerobic","2"
33010,"Cutibacterium avidum","human","Anaerobic",NA
33884,"Microbacterium imperiale","vagina","Aerobic",NA
37637,"Corynebacterium pseudodiphtheriticum","sputum","Aerobic","2"
34062,"Moraxella osloensis","human, hip","Aerobic",NA
1249,"Weissella paramesenteroides","blood","Aerobic",NA
38301,"Corynebacterium minutissimum","carcinous nodule","Aerobic","2"
1717,"Corynebacterium diphtheriae","human, pus","Aerobic","2"
36740,"Dermabacter hominis","child, blood","Aerobic",NA
43771,"Corynebacterium urealyticum","human, vesical calculus","Aerobic","2"
32022,"Campylobacter jejuni jejuni","human, feces","Microaerophilic","2"
44283,"Pasteurella multocida multocida","human, spinal fluid","Aerobic","2"
28090,"Acinetobacter lwoffii","human, urine","Aerobic",NA
33010,"Cutibacterium avidum","human, skin","Anaerobic",NA
504,"Kingella kingae","human, blood","Aerobic",NA
1478,"Bacillus maroccanus","egyptian mummy","Aerobic",NA
247,"Empedobacter brevis","human, eye swab","Aerobic",NA
723,"Actinobacillus ureae","human, urine (child)","Aerobic",NA
38301,"Corynebacterium minutissimum","human, ear pus","Aerobic","2"
38304,"Corynebacterium tuberculostearicum","human, node","Aerobic","2"
38284,"Corynebacterium accolens",NA,"Aerobic","2"
303,"Pseudomonas putida","human, urine","Aerobic",NA
723,"Actinobacillus ureae","human, sputum","Aerobic",NA
41170,"Exiguobacterium acetylicum","human, blood","Aerobic",NA
38301,"Corynebacterium minutissimum","human, heel","Aerobic","2"
131111,"Actinomyces turicensis","human, pus","Anaerobic","2"
1402,"Bacillus licheniformis","human, vesicular fluid","Aerobic",NA
53374,"Corynebacterium coyleae","human, blood","Aerobic","2"
146827,"Corynebacterium simulans","human, node","Aerobic","2"
562,"Escherichia coli","human, urine","Aerobic","2"
2749,"Carnobacterium gallinarum","milk","Aerobic",NA
43767,"Rhodococcus equi","human, lung biopsy","Aerobic","2"
663,"Vibrio alginolyticus","human, ear pus","Aerobic","2"
123812,"Pasteurella multocida gallicida","sputum","Aerobic","2"
1697,"Corynebacterium ammoniagenes","rat","Aerobic","2"
47917,"Serratia fonticola","soil","Aerobic",NA
1833,"Rhodococcus erythropolis","soil","Aerobic",NA
